,district,user_count
1,24 paraganas south,1
58,bagpat,1
100,beawar,1
340,hingoli *,1
446,kendrapara *,1
344,hooghiy,1
797,shopian,1
386,jhajjar *,1
148,burdwan,1
723,ramanagara,1
493,kushi nagar,1
729,ranga reddy,1
757,salumbar,1
605,namakkal *,1
627,nicobars,1
640,north east *,1
259,east midnapur,1
926,visakhapatanam,1
889,tiruvarur,1
70,balotra,1
592,nabarangpur,1
649,nuh,2
716,rajauri,2
563,medinipur west,2
708,raebareli,2
137,bokaro *,2
342,hnahthial,2
947,west medinipur,2
744,s.a.s nagar,2
129,bijapur(kar),2
826,south 24 pargana,2
901,udupi *,2
560,medchal?malkajgiri,2
558,medchal malkajgiri,2
236,didwana-kuchaman,2
239,dinajpur dakshin,2
10,ahmednagar,2
88,bardez,2
76,bandipur,2
895,tuticorin,2
39,anugal,3
507,leh (ladakh),3
508,leparada,3
496,lahaul and spiti,3
549,mangan,3
295,gaurella pendra marwahi,3
203,dang,4
359,jaintia hills,4
883,tirupathur,4
264,east singhbum,4
417,kanchipuram,4
652,pakke kessang,4
817,sivasagar,4
798,shravasti,4
931,warangal (urban),5
369,jalore,5
336,hawrah,5
47,ashoknagar,5
684,pherzawl,6
495,kushinagar *,6
803,siddharth nagar,6
318,gurugram,7
754,saitual,8
234,dibang valley,9
191,coochbehar,10
108,bengaluru rural,10
240,dinajpur uttar,11
569,mohalla-manpur-ambagarh chowki,12
565,meluri,12
5,ahilyanagar,12
841,spsr nellore,16
413,kamle,17
453,khawzawl,17
221,dhalai *,19
891,tseminyu,19
532,mahrajganj,19
792,shi-yomi,19
37,anjaw,20
606,namchi,22
629,niuland,22
154,chamarajanagar *,23
789,sheikpura,24
195,dadra & nagar haveli,24
700,purbi champaran,24
377,janjgir - champa,24
514,lower siang,24
378,janjgir champa,25
600,najafgarh,25
960,yanam,27
562,medinipur,27
936,washim *,28
60,bajali,28
307,gondia,28
112,bhabua,29
237,dima hasao,30
0,24 paraganas north,31
498,lahul and spiti,31
497,lahul & spiti,32
633,north,33
492,kurung kumey,34
908,upper siang,34
831,south east delhi,37
626,nicobar,38
484,kra daadi,38
959,yamunanagar,39
573,monghyr,42
214,deeg,43
292,garhwal,45
801,siang,45
644,north sikkim,47
861,tamulpur district,49
309,gondiya *,49
909,upper subansiri,53
513,lower dibang valley,54
265,eastern west khasi hills,57
780,serchhip,58
632,noklak,58
786,shamator,58
515,lower subansiri,58
542,mammit,59
406,kakching,61
664,pandhurna,62
880,tirap,63
768,sant ravidas nagar bhadohi,64
401,k.v.rangareddy,64
712,raigarh(mh),66
375,jangaon,66
399,jyotiba phule nagar,66
35,andamans,67
256,east kameng,67
512,longleng,68
432,karim nagar,68
800,shupiyan,69
394,jiribam,69
169,chatrapati sambhaji nagar,70
613,narayanpur,70
661,panch mahals,71
186,chumukedima,71
762,samstipur,74
461,kiphire,75
261,east siang,77
228,dhaulpur,78
511,longding,78
243,diu,80
541,mamit,80
672,pashchim champaran,81
510,lohit,83
109,bengaluru south,83
864,tawang,85
294,gaurela-pendra-marwahi,86
954,wokha,87
607,namsai,87
50,aurangabad(bh),88
201,daman,91
335,haveri *,92
682,peren,95
732,ranipet,96
110,bengaluru urban,97
950,west siang,99
635,north and middle andaman,99
655,palamau,100
835,south sikkim,100
951,west sikkim,103
283,gadag *,105
698,purba champaran,106
752,sahibganj,106
753,saiha,107
625,new delhi,107
630,niwari,110
651,pakaur,110
938,west,112
610,nandurbar *,114
857,surendranagar,115
329,hardwar,123
471,kolasib,124
99,baudh,125
225,dharashiv,125
825,south,126
179,chikmagalur,127
944,west kameng,127
449,khairagarh chhuikhadan gandai,128
770,sarangarh-bilaigarh,131
570,mohla-manpur-ambagarh chouki,134
143,bulandshahar,136
703,purnea,137
291,garhwa *,138
548,manendragarh–chirmiri–bharatpur,140
746,sabar kantha,140
255,east jaintia hills,140
535,majuli,146
410,kalimpong,147
466,kodarma,148
845,sribhumi,148
460,kinnaur,150
962,zunheboto,151
72,banas kantha,152
946,west khasi hills,153
571,mokokchung,154
487,kulgam,156
621,nawanshahr,157
945,west karbi anglong,157
501,lakshadweep,159
892,tuensang,163
458,khowai,169
731,rangareddy,170
840,south west khasi hills,172
673,pashchimi singhbhum,174
158,champhai,176
153,chamarajanagar,176
839,south west garo hills,178
505,lawngtlai,178
349,hugli,181
55,bagalkot *,182
253,east garo hills,182
40,anugul,183
165,changlang,184
518,lunglei,187
828,south andaman,187
683,phek,188
903,ukhrul,189
134,bishnupur,190
463,kishtwar,190
204,dantewada,194
506,leh,195
326,harda,199
781,shahdara,201
577,muktsar,202
402,kabeerdham,202
327,harda *,206
162,chandel,206
639,north east,207
642,north garo hills,216
196,dadra and nagar haveli,221
554,mauganj,223
872,thiruvallur,223
869,the dangs,223
745,s.a.s nagar(mohali),225
262,east sikkim,228
832,south garo hills,229
636,north cachar hills,232
539,malerkotla,234
250,east,236
286,ganderbal,237
183,chittaurgarh,237
667,papum pare,239
638,north dinajpur,240
849,sukma,240
572,mon,240
943,west jaintia hills,241
8,ahmed nagar,241
391,jhunjhunu,241
860,tamenglong,241
444,kawardha,242
468,kohima,245
834,south salmara mankachar,245
337,hazaribag,247
830,south dinajpur,248
848,subarnapur,250
533,maihar,252
305,gomati,255
755,sakti,256
438,kasargod,260
75,bandipore,263
695,punch,278
759,samba,281
778,sepahijala,282
149,burhanpur,282
213,debagarh,285
160,chamrajnagar,285
725,ramban,289
637,north delhi,291
198,dakshin bastar dantewada,291
281,firozpur,291
238,dimapur,293
142,budgam,304
906,unakoti,307
641,north east delhi,309
157,champawat,321
509,lohardaga,322
561,medchal−malkajgiri,327
187,churachandpur,328
582,mumbai( sub urban ),340
791,sheopur,343
273,faridkot,344
207,darjiling,344
84,barabanki,345
126,bid,346
933,warangal urban,350
583,mungeli,352
876,thoubal,353
166,charaideo,354
113,bhadohi,355
790,sheohar,361
736,reasi,362
615,narmadapuram,362
3,agar malwa,369
476,kondagaon,369
739,ri bhoi,370
53,badgam,371
949,west nimar,374
211,davanagere,380
373,jamtara,387
653,pakur,388
428,karaikal,390
669,parvathipuram manyam,393
680,peddapalli,402
382,jayashankar bhupalpally,404
578,mulugu,405
660,palwal,408
167,charkhi dadri,408
808,simdega,409
475,komaram bheem,412
82,bapatla,414
56,bageshwar,417
139,botad,418
93,barnala,419
555,mayiladuthurai,421
357,jagatsinghpur,423
910,uttar bastar kanker,424
676,pathankot,425
220,dhalai,427
17,alirajpur,429
566,mewat,429
788,sheikhpura,430
459,khunti,432
489,kupwara,434
913,uttarkashi,435
46,ashok nagar,436
715,rajanna sircilla,440
705,purulia,441
29,anakapalli,443
168,chatra,448
550,mansa,449
276,fatehgarh sahib,453
325,hapur,453
742,rudraprayag,454
352,imphal east,458
